"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.724067239,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.833347929,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.213238983,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.33777574,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.633967885,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.739266758,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.322829368,
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.405779059,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.095771949,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.761315198,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.955563734,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.658784146,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.571061184,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.901970005,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.684904073,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.479896426,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.052939341,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",6.52844295,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.733513287,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.525013404,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.45780531,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.103523569,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.163996716,
"GBR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.013643961,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.165087422,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.347472292,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-0.358150705,
"JPN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.110855207,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.465339449,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.150092019,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.267809916,
"JPN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.02334399,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.857296978,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.71007989,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.180031541,
"OECD","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.403655826,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.217320416,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.472440397,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.4496974,
"OECD","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.2,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.308902555,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.588596311,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.430867107,
"CAN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.671567869,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.592250083,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.881775267,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.576116387,
"CAN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.009973958,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.049073357,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-0.303263951,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.310800531,
"BRA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.061030288,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.333179069,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.902059,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.278145468,
"BRA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.22101115,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.542791999,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.707015905,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.656694491,
"USA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.69569402,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.410338185,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.144633973,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.801155209,
"USA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.662349699,
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.416912719,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.714373124,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.133084729,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.157738351,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.170427688,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.082506436,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.905625045,"P"
"MEX","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.455300092,"P"
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",2.616659059,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.994956988,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.714482826,
"TUR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.575638393,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.732925413,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.845509858,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",-0.08052983,
"TUR","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.937447501,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.36017,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q2",-7.57764,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q3",9.36381,
"IND","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.9399,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.80835,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.97631,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.66457,
"IND","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.69169,
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.468048603,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.928643933,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.785236875,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2021-Q4",-0.02815511,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.798165444,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.102467306,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.474595209,"P"
"DEU","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.435311131,"P"
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.000447045,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.233900409,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.109026297,
"IDN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.276353595,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.077360185,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.920544314,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.700981909,
"IDN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",2.162301337,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.822924303,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.387912495,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.801676582,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.369403562,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.591799411,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.795672523,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.819612486,
"ZAF","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-1.252836804,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.478026943,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",2.417697538,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.901945924,
"ITA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.925439552,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.129885374,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.030937132,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.397286669,
"ITA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.130871434,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.8,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.4,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.4,
"CHN","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.3,
"CHN","QGDP","TOT","PC_CHGPP","Q","2022-Q1",1.6,
"CHN","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-2.7,
"CHN","QGDP","TOT","PC_CHGPP","Q","2022-Q3",3.9,
"CHN","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.057077156,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.066066729,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q3",3.344041374,
"FRA","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.579475884,
"FRA","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.226964214,
"FRA","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.502081867,
"FRA","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.168420781,
"FRA","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.075117737,
"G-20","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.81356,
"G-20","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.53526,
"G-20","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.88934,
"G-20","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.4,
"G-20","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.7,
"G-20","QGDP","TOT","PC_CHGPP","Q","2022-Q2",-0.2,
"G-20","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.4,
"G-20","QGDP","TOT","PC_CHGPP","Q","2022-Q4",0.3,
"EA19","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.035988,
"EA19","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.967983,
"EA19","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.279179,
"EA19","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.556224,
"EA19","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.614417,
"EA19","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.878399,
"EA19","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.370305,
"EA19","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.031901,
"SAU","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.535258578,
"SAU","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.771834299,
"SAU","QGDP","TOT","PC_CHGPP","Q","2021-Q3",4.266683362,
"SAU","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.382212793,
"SAU","QGDP","TOT","PC_CHGPP","Q","2022-Q1",2.722177061,
"SAU","QGDP","TOT","PC_CHGPP","Q","2022-Q2",1.093510707,
"SAU","QGDP","TOT","PC_CHGPP","Q","2022-Q3",1.232127591,
"SAU","QGDP","TOT","PC_CHGPP","Q","2022-Q4",1.307597966,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2021-Q1",0.217613,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.92232,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.175005,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.743088,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.722018,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.723113,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.370608,
"EU27_2020","QGDP","TOT","PC_CHGPP","Q","2022-Q4",-0.107487,
